epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,334.413,0.71947,0.66377,0.90718,0.98589,0.99816,0.99401,0.82982,0.685,2.09011,0.91367,0.0702439,0.00330623,0.00330623
2,662.667,0.68824,0.50767,0.91857,0.93402,0.98214,0.98927,0.84406,0.68151,0.68189,0.95962,0.0401124,0.0065081,0.0065081
3,986.002,0.61869,0.44932,0.89036,0.98806,0.59132,0.66261,0.58146,1.15626,9.81194,9.85104,0.00984898,0.00957797,0.00957797
4,1308.45,0.57579,0.42108,0.89031,0.99802,0.99821,0.995,0.92236,0.43841,0.6109,0.84112,0.009406,0.009406,0.009406
5,1630.95,0.53294,0.38977,0.87287,0.99962,1,0.995,0.92298,0.43949,0.37266,0.83557,0.009208,0.009208,0.009208
6,1954.29,0.51519,0.3706,0.87233,0.9911,0.99456,0.99489,0.94378,0.39535,0.36679,0.84548,0.00901,0.00901,0.00901
7,2276.68,0.49819,0.36105,0.86818,0.99854,0.99464,0.995,0.94513,0.36271,0.38758,0.82223,0.008812,0.008812,0.008812
8,2599.89,0.45068,0.33893,0.85266,0.99987,1,0.995,0.95554,0.33725,0.28218,0.81476,0.008614,0.008614,0.008614
9,2922.45,0.45423,0.33142,0.85294,0.99932,1,0.995,0.9412,0.39235,0.31309,0.82797,0.008416,0.008416,0.008416
10,3246.33,0.44362,0.32752,0.8538,0.99923,1,0.995,0.9584,0.32323,0.2762,0.81725,0.008218,0.008218,0.008218
11,3569.95,0.42866,0.31528,0.84734,0.97257,0.71786,0.75397,0.70762,0.99473,1.22672,1.20739,0.00802,0.00802,0.00802
12,3894.61,0.41338,0.30652,0.84824,0.99972,1,0.995,0.96475,0.30153,0.33066,0.81023,0.007822,0.007822,0.007822
13,4218.47,0.41476,0.30457,0.85266,0.9998,1,0.995,0.9675,0.30076,0.24917,0.81266,0.007624,0.007624,0.007624
14,4542.2,0.39591,0.28658,0.83717,0.99822,0.99983,0.99491,0.96892,0.28672,0.26081,0.80408,0.007426,0.007426,0.007426
15,4865.69,0.38544,0.28927,0.83698,0.9992,1,0.995,0.97495,0.27249,0.25902,0.80276,0.007228,0.007228,0.007228
16,5189.63,0.37649,0.27899,0.84088,0.99942,1,0.995,0.97471,0.27075,0.25956,0.80528,0.00703,0.00703,0.00703
17,5512.43,0.37564,0.27523,0.8465,0.99725,0.99821,0.995,0.97888,0.26111,0.28844,0.80384,0.006832,0.006832,0.006832
18,5835.26,0.35531,0.27401,0.83737,0.99639,1,0.995,0.98044,0.24923,0.23119,0.8006,0.006634,0.006634,0.006634
19,6158.02,0.34784,0.25947,0.83497,0.99925,1,0.995,0.97483,0.25912,0.23161,0.80186,0.006436,0.006436,0.006436
20,6481.16,0.34551,0.25431,0.83656,0.9998,1,0.995,0.97764,0.26648,0.23001,0.80726,0.006238,0.006238,0.006238
21,6804.11,0.34978,0.25385,0.84015,0.99987,1,0.995,0.98251,0.23667,0.21427,0.79987,0.00604,0.00604,0.00604
22,7127.31,0.34204,0.25321,0.83244,0.99974,1,0.995,0.98859,0.23391,0.21305,0.7986,0.005842,0.005842,0.005842
23,7450.26,0.33151,0.24686,0.83496,0.99986,1,0.995,0.98677,0.22887,0.20063,0.79713,0.005644,0.005644,0.005644
