epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1963,0.90595,1.21777,0.97976,0.9304,0.93393,0.96453,0.77914,0.79869,3.876,0.97747,0.0702439,0.00330623,0.00330623
2,35.9047,0.78417,0.53559,0.94753,0.95143,0.94438,0.98583,0.77295,0.85558,0.76751,0.99619,0.0401124,0.0065081,0.0065081
3,51.8698,0.74037,0.50134,0.93541,0.99409,1,0.99498,0.82206,0.73766,1.02343,0.9399,0.00984898,0.00957797,0.00957797
4,67.2586,0.7163,0.45941,0.9209,0.97762,0.99464,0.99445,0.86114,0.60188,3.25548,0.89224,0.009406,0.009406,0.009406
5,83.0773,0.66232,0.4347,0.90446,0.9529,0.93925,0.97212,0.76771,0.78779,0.7563,0.97547,0.009208,0.009208,0.009208
6,98.9082,0.62684,0.41547,0.89604,0.98272,0.97857,0.9937,0.85558,0.64927,0.42506,0.90192,0.00901,0.00901,0.00901
7,114.476,0.58015,0.38954,0.88084,0.97695,0.91607,0.9727,0.80945,0.73859,0.50416,1.0639,0.008812,0.008812,0.008812
8,130.246,0.56046,0.37644,0.88194,0.92544,0.70927,0.79116,0.59864,1.00673,1.05151,1.13271,0.008614,0.008614,0.008614
9,146.2,0.55614,0.37188,0.88311,0.98753,0.98986,0.99486,0.88169,0.54125,0.38924,0.88725,0.008416,0.008416,0.008416
10,163.569,0.53206,0.35108,0.87163,0.99467,0.99899,0.99498,0.87235,0.58224,0.36738,0.89877,0.008218,0.008218,0.008218
11,181.183,0.54135,0.35199,0.88287,0.99984,1,0.995,0.87081,0.60154,0.35134,0.88134,0.00802,0.00802,0.00802
12,198.695,0.52089,0.34949,0.86991,0.9765,0.95714,0.97687,0.88587,nan,nan,nan,0.007822,0.007822,0.007822
13,215.458,0.49413,0.33345,0.86532,0.99319,0.99464,0.99491,0.85801,0.65007,0.37005,0.9132,0.007624,0.007624,0.007624
14,231.384,0.49546,0.32811,0.86651,0.89774,0.86607,0.93237,0.71423,0.88534,0.6666,1.01315,0.007426,0.007426,0.007426
15,247.439,0.47967,0.31951,0.85692,0.99464,0.99414,0.99489,0.93846,0.4134,0.30734,0.84509,0.007228,0.007228,0.007228
16,263.808,0.4901,0.32442,0.86878,0.99821,0.99727,0.995,0.88428,0.54129,0.35222,0.87923,0.00703,0.00703,0.00703
