epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4794,0.96563,1.04125,1.01935,0.00016,0.00179,4e-05,0,0,3395.83,0,0.0702439,0.00330623,0.00330623
2,64.7579,0.86007,0.56115,1.00502,0,0,0,0,0.73797,1.26604,0.40424,0.0401124,0.0065081,0.0065081
3,95.7738,0.7589,0.49469,0.96724,0.73609,0.67238,0.68672,0.39153,1.63754,1.68041,1.45757,0.00984898,0.00957797,0.00957797
4,127.065,0.73679,0.46264,0.95485,0.92118,0.37566,0.40191,0.31927,1.63454,1.64911,1.58332,0.009406,0.009406,0.009406
5,157.659,0.67816,0.43143,0.93908,0.96623,0.97081,0.99133,0.75316,0.97232,0.56685,1.06756,0.009208,0.009208,0.009208
6,188.646,0.64145,0.40626,0.92062,0.73919,0.64274,0.71235,0.49443,1.17061,1.12139,1.28281,0.00901,0.00901,0.00901
7,218.038,0.60398,0.39627,0.91372,0,0,0,0,nan,nan,nan,0.008812,0.008812,0.008812
8,247.953,0.56755,0.36372,0.9,0.99917,0.99821,0.995,0.82515,0.74318,0.38251,0.95972,0.008614,0.008614,0.008614
9,278,0.58735,0.37111,0.91168,0.98987,0.99821,0.99496,0.93148,0.41253,0.30569,0.87764,0.008416,0.008416,0.008416
10,307.944,0.54693,0.34776,0.89414,0.98884,0.99464,0.99493,0.88882,0.4967,0.3623,0.89843,0.008218,0.008218,0.008218
11,338.271,0.54207,0.35125,0.89455,0.99724,0.99821,0.99498,0.93973,0.39729,0.30982,0.85126,0.00802,0.00802,0.00802
12,368.563,0.52628,0.34006,0.89116,0.99205,0.94821,0.95894,0.85568,0.57548,0.44511,0.93906,0.007822,0.007822,0.007822
13,398.527,0.52357,0.33169,0.89008,0.99718,0.99821,0.995,0.87405,0.57609,0.38921,0.90171,0.007624,0.007624,0.007624
14,428.615,0.49972,0.32551,0.88275,1,0.99605,0.995,0.83385,0.77507,0.41858,0.98704,0.007426,0.007426,0.007426
15,458.601,0.52236,0.33454,0.88475,0.51011,0.52857,0.3942,0.27213,1.20356,2.19608,1.38227,0.007228,0.007228,0.007228
16,488.341,0.50795,0.32803,0.88936,0.99268,0.99821,0.99473,0.85343,0.67507,0.36067,0.94679,0.00703,0.00703,0.00703
17,517.198,0.48979,0.31321,0.88168,0,0,0,0,nan,nan,nan,0.006832,0.006832,0.006832
18,546.464,0.49564,0.3156,0.87576,0.99982,1,0.995,0.97469,0.30623,0.24929,0.82852,0.006634,0.006634,0.006634
19,575.41,0.46451,0.30023,0.87013,0.99822,0.99974,0.99486,0.87921,0.57658,0.33648,0.90992,0.006436,0.006436,0.006436
20,604.744,0.48311,0.30285,0.87675,0.99821,0.9942,0.99496,0.95053,0.3904,0.28085,0.8585,0.006238,0.006238,0.006238
21,635.375,0.48842,0.30677,0.88114,0.97161,0.97776,0.9934,0.83114,0.69927,0.89827,0.9795,0.00604,0.00604,0.00604
22,665.969,0.46699,0.29435,0.87929,0.99972,1,0.995,0.86469,0.60573,0.30682,0.92726,0.005842,0.005842,0.005842
23,696.04,0.45859,0.28947,0.87268,0.89157,0.85162,0.91657,0.72328,0.7897,0.57246,1.05066,0.005644,0.005644,0.005644
24,724.944,0.44269,0.28572,0.86587,0.99912,1,0.995,0.91093,0.46864,0.28112,0.87229,0.005446,0.005446,0.005446
25,753.891,0.43592,0.27873,0.85946,0.99991,1,0.995,0.88149,0.56895,0.30026,0.90599,0.005248,0.005248,0.005248
26,783.147,0.45188,0.28682,0.86472,0.99463,0.99251,0.99484,0.89707,0.51842,0.32818,0.88898,0.00505,0.00505,0.00505
27,812.236,0.43823,0.27709,0.86049,0.99986,1,0.995,0.89347,0.57386,0.29331,0.90929,0.004852,0.004852,0.004852
28,841.421,0.43428,0.27285,0.86878,0.97627,0.95495,0.97915,0.93809,0.36963,0.27713,0.85273,0.004654,0.004654,0.004654
