epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,330.924,0.86048,0.77926,0.96256,0.88945,0.9482,0.92663,0.69292,0.9309,1.43677,1.04997,0.0702439,0.00330623,0.00330623
2,662.909,0.8439,0.61738,0.97311,0.76736,0.76607,0.8011,0.4918,1.38136,5.58903,1.26033,0.0401124,0.0065081,0.0065081
3,989.102,0.7942,0.58714,0.95799,0.87378,0.87773,0.89636,0.63001,1.00009,7.58127,1.11373,0.00984898,0.00957797,0.00957797
4,1316.22,0.76195,0.54497,0.95569,0.93369,0.90714,0.94068,0.76143,0.77061,1.2498,1.01027,0.009406,0.009406,0.009406
5,1643.38,0.65732,0.47749,0.91817,0.92868,0.95337,0.97896,0.84937,0.63177,0.49989,0.89776,0.009208,0.009208,0.009208
6,1971.42,0.67444,0.4806,0.92565,0.98587,0.9964,0.99469,0.87025,0.56833,0.45152,0.88338,0.00901,0.00901,0.00901
7,2297.23,0.61838,0.44529,0.90304,0.88817,0.82261,0.88056,0.66121,1.02478,0.91082,1.07454,0.008812,0.008812,0.008812
8,2631.85,0.59573,0.43308,0.89894,0.98535,1,0.99389,0.87884,0.57166,0.41309,0.88221,0.008614,0.008614,0.008614
9,2959.07,0.60791,0.42922,0.90095,0.99771,1,0.9947,0.93266,0.4055,0.32939,0.83473,0.008416,0.008416,0.008416
10,3283.18,0.59263,0.43093,0.89357,0.99487,0.99286,0.99498,0.91177,0.46062,0.50527,0.84958,0.008218,0.008218,0.008218
11,3607.77,0.56883,0.41624,0.89432,0.99947,1,0.995,0.92329,0.43828,0.33838,0.84446,0.00802,0.00802,0.00802
12,3932.31,0.55477,0.40146,0.88821,0.99933,1,0.995,0.92636,0.40615,0.31301,0.83101,0.007822,0.007822,0.007822
13,4258.46,0.53266,0.38784,0.87682,0.98761,0.99659,0.99484,0.88667,0.59432,0.39512,0.89353,0.007624,0.007624,0.007624
14,4582,0.50629,0.37549,0.87259,0.99982,1,0.995,0.95597,0.36547,0.282,0.82534,0.007426,0.007426,0.007426
15,4906.34,0.52717,0.38214,0.88175,0.98114,0.92911,0.96643,0.7821,0.76575,0.63758,0.98779,0.007228,0.007228,0.007228
16,5231.28,0.51934,0.37838,0.88421,0.99963,1,0.995,0.96656,0.31908,0.28573,0.81708,0.00703,0.00703,0.00703
17,5554.83,0.5177,0.36956,0.87905,0.98606,0.91071,0.96993,0.89332,0.54364,0.37265,0.88673,0.006832,0.006832,0.006832
